M1,M10,M11,M12,M13,M14,M15,M2,M3,M5,M6,M7,M8,M9
1594,1600,979,0,0,730,451,9379,375,2256,8000,635,8,3
5404,6887,4555,0,0,16,172,1853,258,987,1196,1458,0,0
0,0,0,0,0,8983,0,0,0,0,0,0,0,0
1910,647,1965,0,0,0,0,471,46,249,0,0,7,7
179,141,70,0,0,41,50,369,1503,548,636,1404,18,0
200,150,56,0,0,61,71,1065,705,605,1053,831,34,0
515,1076,0,0,0,1031,65,645,164,0,918,0,0,0
1241,202,1699,0,0,0,232,652,0,155,0,0,0,0
57,66,26,0,0,0,21,327,80,259,566,2546,22,0
471,825,34,0,0,0,0,1974,146,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,3106
239,122,41,0,0,0,0,731,624,274,631,292,0,0
0,4,0,2,11,0,0,0,0,0,0,0,0,2703
84,76,0,0,0,0,67,84,388,136,431,1255,0,3
0,1414,809,0,0,0,5,0,0,0,0,0,0,64
0,60,0,0,0,8,36,111,0,0,402,1339,0,0
0,1902,0,0,0,0,0,0,0,0,0,0,0,0
0,3,0,0,7,0,0,0,0,0,0,0,0,1594
0,0,0,0,0,0,0,80,0,501,934,0,0,0
12,0,0,0,0,0,0,61,0,0,0,0,1434,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1285
0,10,0,0,0,0,0,0,0,0,0,0,0,1187
0,662,409,0,0,0,0,0,0,0,0,0,0,113
0,0,0,0,0,0,0,0,0,0,0,1132,0,0
75,0,0,0,0,0,0,0,0,0,1048,0,0,0
0,0,0,0,0,0,0,0,0,122,843,0,0,4
0,0,0,0,6,0,0,0,0,0,0,0,0,960
16,0,0,0,0,906,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,897,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,818,0
56,0,0,0,0,0,0,75,8,0,260,396,0,0
57,62,8,0,0,0,39,95,0,0,24,492,0,0
19,0,0,0,0,0,0,0,0,0,0,730,0,0
0,0,0,0,0,0,0,0,0,0,0,720,0,0
18,0,8,0,0,0,0,28,0,0,251,401,11,0
0,0,0,0,0,0,0,0,0,0,0,0,0,716
0,0,0,0,0,0,0,0,0,0,704,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,694
0,17,0,0,0,0,0,0,0,0,0,0,0,669
0,0,0,0,0,0,0,0,0,0,220,458,0,0
0,11,0,0,0,3,7,23,0,0,0,626,0,0
4,0,0,0,0,0,0,0,0,0,0,665,0,0
0,0,0,0,0,0,0,0,0,0,532,136,0,0
0,0,0,0,0,0,0,0,0,0,0,668,0,0
33,0,0,0,0,0,0,0,0,282,301,0,0,0
14,12,0,21,15,0,9,291,0,0,221,0,0,9
0,0,0,0,0,0,0,0,0,0,0,589,0,0
0,0,0,0,0,0,0,0,0,0,0,576,0,0
0,0,0,0,0,0,0,0,0,0,564,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,564
0,0,0,0,0,0,0,0,0,0,0,540,20,0
0,0,0,0,0,0,0,62,333,141,22,0,0,0
126,206,159,0,0,0,9,40,0,0,0,0,0,0
0,56,0,0,0,12,0,114,29,72,244,0,0,0
0,0,0,0,0,0,0,30,0,493,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,513,0,0
0,0,0,0,0,0,0,0,0,0,0,506,0,0
15,0,0,0,0,0,0,0,0,26,464,0,0,0
0,0,0,0,0,0,0,0,0,0,0,503,0,0
0,0,0,0,0,0,0,0,0,0,0,0,492,5
0,0,0,0,0,0,0,46,0,0,0,0,448,0
0,0,0,0,0,0,0,8,91,8,0,371,0,0
0,0,0,0,0,0,0,0,0,0,0,466,0,0
0,0,0,0,0,0,0,0,0,0,0,465,0,0
0,0,0,0,0,0,0,0,0,0,0,84,0,370
0,0,0,0,0,0,0,0,0,0,0,439,0,0
5,18,6,0,0,8,6,0,128,8,246,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,424
0,90,124,0,0,50,0,0,0,155,0,0,0,0
0,0,0,0,0,0,0,31,290,98,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,411,0,0
45,29,15,0,0,0,10,97,0,207,0,0,0,0
0,0,0,0,0,0,60,59,0,0,284,0,0,0
0,280,115,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,393,0,0
0,0,0,0,0,0,0,0,0,0,387,0,0,0
0,0,0,0,0,0,0,0,0,0,384,0,0,0
0,0,0,0,0,0,0,0,0,0,377,0,0,0
0,0,0,0,0,0,0,0,0,0,0,359,8,0
0,4,0,0,0,0,0,0,0,0,0,0,0,361
6,0,0,0,0,0,0,0,0,0,0,0,354,0
20,0,0,0,0,0,0,0,0,0,0,0,339,0
0,0,0,0,0,0,0,0,0,0,0,356,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,349
0,0,0,0,0,0,0,0,0,0,0,348,0,0
0,0,0,0,0,0,0,0,0,0,0,343,0,0
0,0,0,0,0,0,0,0,0,0,0,340,0,0
0,0,0,0,0,335,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,328,0,0,0
0,0,0,0,0,0,0,0,0,0,328,0,0,0
0,0,0,0,0,0,0,0,0,0,0,325,0,0
0,0,0,0,0,0,0,0,0,0,0,0,321,0
0,0,0,0,0,0,0,34,0,0,0,0,285,0
0,0,0,0,0,0,0,0,314,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,303
0,0,17,0,0,0,0,27,0,131,0,127,0,0
72,0,0,0,0,0,0,0,0,0,223,0,0,0
0,0,0,0,0,0,0,0,0,0,0,294,0,0
0,0,0,0,0,0,289,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,287
0,0,0,0,0,0,0,0,0,0,0,0,0,284
0,0,0,0,0,0,0,0,0,16,262,0,0,0
0,0,0,0,0,0,0,0,0,0,273,0,0,0
0,0,0,0,0,0,0,0,0,0,272,0,0,0
0,0,0,0,0,0,0,0,0,0,0,272,0,0
0,0,0,0,0,0,0,0,0,0,0,271,0,0
0,0,0,0,0,0,0,0,0,0,270,0,0,0
0,0,0,0,0,0,0,0,0,0,265,0,0,0
0,0,9,0,0,0,0,0,254,0,0,0,0,0
0,0,0,0,0,0,0,0,0,257,0,0,0,0
0,0,0,0,6,0,0,0,0,0,0,0,0,248
77,71,94,0,0,0,0,11,0,0,0,0,0,0
0,0,0,0,0,0,0,0,248,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,247,0
0,0,0,0,0,0,0,0,0,0,0,246,0,0
0,0,0,0,0,0,0,0,0,0,0,246,0,0
0,0,0,0,0,0,0,0,0,0,0,0,245,0
0,0,0,0,0,0,0,0,0,0,0,0,240,0
0,0,0,0,0,0,0,0,0,0,0,0,239,0
10,0,0,0,0,0,0,17,19,83,0,80,28,0
94,42,100,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,234,0,0,0,0,0
60,5,2,0,0,2,0,32,0,132,0,0,0,0
41,7,0,0,0,0,0,0,185,0,0,0,0,0
0,0,0,8,11,0,0,0,0,0,0,0,0,213
0,0,0,0,0,0,0,0,0,0,231,0,0,0
49,0,0,0,0,4,19,97,55,0,0,0,0,0
0,0,0,0,0,0,0,0,224,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,223
0,0,0,0,0,0,0,0,0,0,0,222,0,0
0,0,0,0,0,0,0,0,220,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,220,0,0,0
0,0,0,0,0,0,31,0,0,0,0,184,0,0
0,0,0,0,0,0,0,27,0,0,0,0,188,0
0,0,0,0,0,0,0,0,214,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,213,0
0,0,0,0,0,0,0,0,0,0,0,0,206,0
18,0,0,0,0,0,0,63,0,0,0,0,122,0
0,0,0,0,0,0,0,0,0,0,0,203,0,0
0,0,0,0,0,194,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,194,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,192,0,0
36,0,0,0,0,25,0,0,0,0,120,9,0,0
0,0,0,0,0,0,0,0,0,0,190,0,0,0
0,0,0,0,0,0,0,0,0,0,189,0,0,0
0,0,0,0,0,0,0,0,92,0,94,0,0,0
0,0,0,0,0,0,0,0,0,0,0,186,0,0
0,0,0,0,0,0,0,0,185,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,184,0
0,0,0,0,0,0,0,0,156,27,0,0,0,0
0,0,0,0,0,0,0,0,0,0,182,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,182,0
0,0,0,0,0,0,0,0,0,0,0,0,0,180
0,0,0,0,0,0,0,0,178,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,178,0,0,0
0,0,0,0,0,0,0,0,88,0,89,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,177
0,0,0,0,0,0,0,0,0,0,0,0,0,176
13,0,0,0,0,0,0,0,0,0,0,0,161,0
0,0,0,0,0,0,0,0,0,0,0,0,0,174
0,0,0,0,0,0,0,0,0,0,173,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,173,0
0,0,0,0,0,172,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,40,0,0,0,0,131,0
0,0,0,0,0,0,0,0,0,171,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,171
0,0,0,0,0,0,0,0,0,0,0,0,0,171
0,0,0,0,0,0,0,0,0,0,0,0,0,171
0,0,0,0,0,0,0,0,0,0,0,0,0,171
52,14,18,0,0,9,19,48,0,10,0,0,0,0
11,0,0,0,0,0,0,0,0,0,159,0,0,0
0,0,0,0,0,0,0,0,170,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,170,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,170
0,0,0,0,0,0,13,0,0,156,0,0,0,0
0,0,0,0,0,0,0,0,0,0,169,0,0,0
0,0,0,0,0,0,0,0,0,0,0,168,0,0
0,0,0,0,0,0,0,0,0,0,0,167,0,0
0,0,0,0,0,0,0,23,0,0,0,0,143,0
0,0,0,0,0,0,0,0,0,0,0,0,0,166
0,0,0,0,0,0,0,0,0,0,164,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,164
0,90,62,0,0,0,0,0,0,0,0,0,0,11
0,0,0,0,0,0,0,0,0,0,0,162,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,162
0,0,0,0,0,0,0,0,160,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,159,0,0,0
0,0,0,0,0,0,0,0,158,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,158,0,0,0
0,0,0,0,0,0,0,0,0,0,155,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,155,0
0,0,0,0,0,0,0,0,0,0,151,0,0,0
0,107,41,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,14,103,0,0,0,0,0,0
0,0,0,0,0,0,0,146,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,145,0,0
0,0,0,0,0,0,0,0,0,0,142,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,142,0
0,0,0,0,0,0,0,140,0,0,0,0,0,0
0,0,0,0,0,0,0,0,140,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,140,0,0
0,0,0,0,0,0,0,0,0,0,139,0,0,0
0,0,0,0,0,0,0,0,0,0,138,0,0,0
0,0,0,0,0,0,0,0,136,0,0,0,0,0
0,0,0,0,0,0,0,0,136,0,0,0,0,0
0,0,0,0,0,0,0,0,136,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,136,0,0
0,0,0,0,0,0,0,0,0,0,0,136,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,136
65,31,32,0,0,0,0,7,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,134,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,134
0,0,0,0,0,0,0,0,132,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,114,0
0,0,116,0,0,0,0,0,0,0,0,0,15,0
0,0,0,0,0,0,0,0,0,0,0,0,0,131
0,0,0,0,0,0,0,0,0,129,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,128
0,0,0,0,0,0,0,0,0,0,127,0,0,0
0,0,0,6,0,0,0,0,0,0,0,0,0,120
0,0,0,0,0,0,0,0,0,0,0,125,0,0
0,0,0,0,0,0,0,0,124,0,0,0,0,0
25,0,0,0,0,0,0,0,98,0,0,0,0,0
0,108,0,0,0,0,15,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,123,0,0
0,0,0,0,0,0,0,0,0,0,122,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,122,0
0,0,0,0,0,0,0,0,0,0,0,0,0,122
0,0,0,0,0,0,0,29,0,0,91,0,0,0
0,0,0,0,0,0,0,0,0,0,120,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,120,0
0,0,0,0,0,0,22,97,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,116,0,0,0
0,0,0,0,0,0,0,0,0,0,0,116,0,0
0,0,0,0,0,115,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,114,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,114
38,32,32,0,0,0,0,11,0,0,0,0,0,0
0,0,0,0,0,0,0,0,112,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,111
0,0,0,0,0,0,0,0,0,0,0,109,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,107
0,0,0,0,0,0,0,0,106,0,0,0,0,0
0,0,0,0,0,0,0,0,0,106,0,0,0,0
0,0,0,0,0,0,0,0,0,0,104,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,103
36,38,0,0,0,27,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,101,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,101,0
0,0,0,0,0,0,0,0,0,0,0,0,0,101
0,0,0,0,0,0,0,0,48,0,52,0,0,0
0,0,0,0,0,7,0,47,11,33,0,0,0,0
0,0,0,0,0,0,0,0,98,0,0,0,0,0
0,0,0,0,0,0,0,97,0,0,0,0,0,0
0,0,0,0,0,0,0,0,97,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,97
31,47,0,0,0,0,18,0,0,0,0,0,0,0
0,47,21,0,0,0,0,0,0,0,0,0,0,28
0,0,0,0,0,0,0,0,0,95,0,0,0,0
0,0,0,0,0,0,0,0,0,95,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,45,46,0
0,0,0,0,0,0,0,0,0,0,0,0,91,0
0,0,0,0,0,0,0,0,0,0,0,0,90,0
0,0,0,0,0,0,0,0,0,0,0,0,0,90
0,0,0,0,0,0,0,0,0,0,0,0,89,0
0,0,0,0,0,0,0,0,0,0,0,0,78,10
0,0,0,0,0,0,0,0,0,0,0,0,0,88
37,0,50,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,78,0,0,0,0,0,0
0,0,7,0,0,0,0,26,0,54,0,0,0,0
0,0,0,0,0,0,0,0,0,0,87,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,87,0
47,0,0,0,0,0,0,39,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,86,0,0,0
0,0,0,0,0,0,0,0,0,0,85,0,0,0
0,0,0,0,0,0,0,0,0,0,0,85,0,0
0,0,0,0,0,0,0,0,0,0,0,0,85,0
0,0,0,0,0,0,0,0,0,0,0,0,85,0
6,0,0,0,0,0,0,0,0,0,78,0,0,0
0,0,0,0,0,0,0,83,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,83,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,83,0
0,0,0,0,0,82,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,82,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,78,0,0,4
0,0,0,0,0,0,0,0,0,0,0,82,0,0
0,0,0,0,0,0,0,0,81,0,0,0,0,0
0,0,0,0,0,0,0,0,0,79,0,0,0,0
0,0,0,0,0,0,0,0,0,0,79,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,79,0
0,0,0,0,0,0,0,0,0,0,0,0,0,79
0,0,0,0,0,0,0,0,0,0,0,0,78,0
0,0,0,0,0,0,0,0,0,0,0,0,0,78
0,0,0,0,0,76,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,76,0
0,0,0,0,0,0,0,0,0,0,0,0,76,0
0,0,0,0,0,0,0,0,0,0,0,0,0,76
0,33,42,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,75,0,0,0,0
0,0,0,0,0,0,0,0,0,75,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,74,0
12,0,0,0,0,0,0,61,0,0,0,0,0,0
0,0,0,0,0,0,0,73,0,0,0,0,0,0
0,0,0,0,0,0,0,73,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,73,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,72,0
0,0,0,0,0,0,0,0,0,0,0,0,72,0
0,0,0,0,0,0,0,0,0,70,0,0,0,0
0,0,0,0,0,0,0,0,0,0,70,0,0,0
17,0,0,0,0,52,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,61,0,0,0,0,0
0,0,0,0,0,69,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,69,0,0,0,0
0,0,0,0,0,0,0,0,0,69,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,69,0
0,0,0,0,0,0,24,44,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,54,0,0,0,0
0,0,0,0,0,0,0,0,0,0,67,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,67
0,0,0,0,0,0,0,0,0,0,0,0,0,67
3,42,0,0,0,21,0,0,0,0,0,0,0,0
0,46,20,0,0,0,0,0,0,0,0,0,0,0
0,23,43,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,66,0,0,0,0,0
0,0,0,0,0,0,0,0,0,58,0,0,0,8
0,0,0,0,0,0,0,0,0,0,66,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,66,0
0,0,64,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,64,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,64,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,63,0
0,0,0,0,0,0,0,0,0,0,0,0,63,0
20,0,0,0,0,0,0,0,0,42,0,0,0,0
0,0,0,0,0,0,0,0,62,0,0,0,0,0
0,0,0,0,0,0,0,0,0,62,0,0,0,0
0,0,61,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,61,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,61,0,0,0
0,0,0,0,0,0,0,0,0,0,61,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,61
60,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,57,0,0,0,0,3,0
0,0,0,0,0,0,0,0,0,0,60,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,60
0,0,0,0,0,0,0,0,0,0,0,0,0,60
36,23,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,36,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,59,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,59
9,0,0,0,0,0,0,49,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,51,0
0,0,58,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,58,0,0,0,0,0,0
0,0,0,0,0,0,0,58,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,58,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,58,0
0,0,0,0,0,0,0,0,0,0,0,0,0,58
0,28,0,0,0,0,0,29,0,0,0,0,0,0
0,0,0,0,0,0,0,57,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,57,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,57,0
0,0,0,0,0,0,0,0,0,0,0,0,57,0
0,0,0,0,0,0,0,0,0,0,0,0,0,57
21,0,0,0,0,0,0,0,35,0,0,0,0,0
0,0,0,0,0,0,0,0,56,0,0,0,0,0
0,0,0,0,0,0,0,0,0,56,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,56,0
0,0,0,0,0,55,0,0,0,0,0,0,0,0
2,27,25,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,54,0,0,0,0,0
0,0,0,0,0,0,0,0,54,0,0,0,0,0
0,0,0,0,0,0,0,0,0,54,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,54,0
0,0,0,0,0,0,0,0,0,0,0,0,54,0
0,0,0,0,0,0,0,0,0,0,0,0,0,54
13,0,0,0,0,0,0,0,0,0,14,0,26,0
0,0,0,0,0,0,0,0,0,0,0,0,53,0
12,6,34,0,0,0,0,0,0,0,0,0,0,0
0,28,24,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,4,0,0,0,0,0,0,0,0,48
0,0,0,0,0,0,0,52,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,52,0
3,23,24,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,51,0,0,0,0,0,0
0,0,0,0,0,0,0,51,0,0,0,0,0,0
0,0,0,0,0,0,0,51,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,51,0
50,0,0,0,0,0,0,0,0,0,0,0,0,0
0,50,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,50,0,0,0,0,0,0,0
0,0,0,0,0,0,0,50,0,0,0,0,0,0
0,0,0,0,0,0,0,50,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,50,0
0,0,0,0,0,0,0,0,0,0,0,0,50,0
0,0,0,0,0,0,0,0,0,0,0,0,50,0
0,0,0,0,0,0,0,0,0,0,0,0,0,50
0,0,0,0,0,0,0,0,0,0,0,0,0,50
0,0,0,0,0,0,0,0,0,0,0,0,0,50
0,0,0,0,0,0,0,0,49,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,49,0,0
0,0,0,0,0,0,0,0,0,0,0,0,49,0
0,0,0,0,0,0,0,0,0,0,0,0,0,49
0,0,0,0,0,0,0,0,48,0,0,0,0,0
0,0,0,0,0,0,0,0,0,48,0,0,0,0
0,0,0,0,0,0,0,0,0,48,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,48,0
0,0,0,0,0,0,0,0,0,0,0,0,48,0
47,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,47,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,47,0,0,0,0,0,0,0,0
0,0,0,0,0,47,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,47,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,47
0,0,0,0,0,0,0,0,0,0,0,0,0,47
0,0,0,0,0,0,0,0,46,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,46,0,0
0,0,0,0,0,0,0,0,0,0,0,0,46,0
0,0,0,0,0,0,0,0,0,0,0,0,46,0
0,0,0,0,0,0,0,0,0,0,0,0,46,0
